State,"Production, U.S. Share","Production, Rank","Consumption per Capita, Million Btu","Consumption per Capita, Rank","Expenditures per Capita, Dollars","Expenditures per Capita, Rank",Federal offshore production is not included in the Production Shares.
WY,8.1,3,967,1,8651,1,
ND,4.4,6,872,3,8097,2,
AK,1.5,13,830,4,8060,3,
LA,3.7,8,945,2,7537,4,
TX,21.3,1,498,6,5345,5,
IA,0.9,22,513,5,4956,6,
SD,0.3,40,452,9,4888,7,
WV,5.0,5,462,8,4860,8,
MS,0.3,37,400,13,4829,9,
MT,1.0,18,410,12,4787,10,
NE,0.5,34,475,7,4785,11,
HI,0.0,48,206,47,4658,12,
ME,0.2,44,295,29,4617,13,
VT,0.0,47,223,43,4555,14,
AL,1.3,14,400,14,4491,15,
IN,1.1,16,424,11,4486,16,
KY,1.2,15,391,15,4420,17,
OK,5.1,4,433,10,4331,18,
KS,0.8,24,390,16,4328,19,
NH,0.2,43,240,41,4313,20,
AR,0.9,23,372,17,4156,21,
SC,0.7,25,329,21,4003,22,
TN,0.6,30,333,20,4001,23,
MN,0.5,32,341,18,3966,24,
CT,0.2,41,211,45,3960,25,
NM,3.6,9,336,19,3954,26,
ID,0.2,42,316,24,3951,27,
WI,0.3,36,325,22,3909,28,
MA,0.1,45,212,44,3902,29,
DE,0.0,50,301,28,3867,30,
MO,0.3,39,302,27,3853,31,
OH,3.5,10,322,23,3792,32,
PA,9.4,2,310,26,3787,33,
NJ,0.4,35,252,36,3709,34,
RI,0.0,49,187,51,3686,35,
MI,0.7,27,290,30,3605,36,
VA,0.9,20,283,31,3601,37,
CA,2.5,12,202,48,3522,38,
IL,2.7,11,315,25,3522,39,
WA,1.1,17,276,32,3498,40,
NV,0.1,46,240,40,3418,41,
GA,0.7,28,274,33,3397,42,
OR,0.5,33,242,39,3388,43,
MD,0.3,38,226,42,3295,44,
NC,0.7,26,252,37,3290,45,
UT,0.9,21,265,35,3261,46,
CO,3.8,7,266,34,3239,47,
AZ,0.6,29,208,46,3189,48,
NY,0.9,19,197,50,3112,49,
DC,0.0,51,249,38,3058,50,
FL,0.6,31,202,49,2941,51,