,coal,natural gas,crude oil,NGPL,nuclear,renewables
1950,14.0601,6.233,11.4467,0.825,0,2.9777
1951,14.4193,7.4157,13.0367,0.9226,0,2.9585
1952,12.7343,7.9636,13.281,1,0,2.9402
1953,12.2777,8.3388,13.6711,1.0643,0,2.8315
1954,10.5424,8.6818,13.4269,1.1159,0,2.7541
1955,12.3696,9.3447,14.4097,1.242,0,2.784
1956,13.3063,10.0021,15.1802,1.2845,0,2.8506
1957,13.0614,10.6053,15.178,1.2912,0.0001,2.8492
1958,10.7831,10.9422,14.2041,1.291,0.0019,2.9151
1959,10.778,11.9518,14.9326,1.385,0.0022,2.9013
1960,10.8174,12.6561,14.9346,1.463,0.006,2.9282
1961,10.4471,13.1047,15.2062,1.5509,0.0197,2.9522
1962,10.9006,13.7169,15.5219,1.5933,0.0264,3.1174
1963,11.8492,14.5128,15.9658,1.7102,0.0381,3.0964
1964,12.5239,15.2984,16.1636,1.804,0.0398,3.2252
1965,13.0553,15.7754,16.5214,1.8832,0.0432,3.3958
1966,13.4677,17.0107,17.561,1.9983,0.0642,3.4325
1967,13.8255,17.9432,18.6513,2.1787,0.0885,3.6902
1968,13.6087,19.0679,19.3084,2.3201,0.1415,3.7727
1969,13.8633,20.4465,19.5562,2.4132,0.1537,4.0949
1970,14.6071,21.6657,20.4012,2.5036,0.2393,4.07
1971,13.1855,22.2798,20.0327,2.533,0.4129,4.2622
1972,14.0917,22.2075,20.0411,2.5816,0.5838,4.382
1973,13.9921,22.1873,19.4932,2.5504,0.9102,4.4109
1974,14.0745,21.2101,18.575,2.4496,1.2721,4.7419
1975,14.9893,19.6403,17.7293,2.3505,1.8998,4.6871
1976,15.6537,19.4803,17.2618,2.2995,2.1111,4.7272
1977,15.7547,19.5653,17.4537,2.2957,2.7018,4.209
1978,14.9098,19.4852,18.4337,2.2123,3.0241,5.0054
1979,17.5396,20.0763,18.1036,2.2554,2.7758,5.1229
1980,18.5977,19.9076,18.2489,2.2237,2.7392,5.4283
1981,18.3768,19.6992,18.146,2.2663,3.0076,5.4137
1982,18.6388,18.319,18.3089,2.1492,3.1311,5.9796
1983,17.2467,16.5934,18.3918,2.1363,3.2025,6.4956
1984,19.7192,18.0079,18.8482,2.2338,3.5525,6.4379
1985,19.3252,16.9804,18.9924,2.2038,4.0756,6.084
1986,19.5095,16.5408,18.3759,2.1129,4.3801,6.1111
1987,20.1411,17.1358,17.6748,2.1789,4.7539,5.6218
1988,20.7376,17.5986,17.2789,2.2307,5.587,5.4568
1989,21.3602,17.8473,16.1169,2.1234,5.6022,6.2347
1990,22.4875,18.3262,15.5712,2.1383,6.1044,6.04
1991,21.6364,18.2287,15.7008,2.2652,6.4221,6.0678
1992,21.6941,18.3751,15.2229,2.3226,6.4792,5.8206
1993,20.3357,18.584,14.4944,2.3662,6.4105,6.0819
1994,22.2021,19.348,14.1026,2.3494,6.6939,5.9871
1995,22.1296,19.0822,13.8868,2.3978,7.0754,6.5573
1996,22.7901,19.3443,13.7229,2.4803,7.0867,7.0109
1997,23.3096,19.3939,13.658,2.4448,6.597,7.0168
1998,24.0452,19.6133,13.2351,2.3723,7.0678,6.4927
1999,23.2951,19.3407,12.451,2.473,7.6103,6.5156
2000,22.7355,19.6615,12.3581,2.5515,7.8623,6.1017
2001,23.5471,20.1656,12.2816,2.4905,8.0289,5.1618
2002,22.7322,19.3821,12.1602,2.5022,8.1454,5.7309
2003,22.0937,19.6333,11.9596,2.2961,7.9596,5.9425
2004,22.8521,19.0743,11.5501,2.4076,8.2228,6.0627
2005,23.1852,18.556,10.9742,2.2799,8.1608,6.2208
2006,23.7895,19.0217,10.7668,2.2987,8.2146,6.5862
2007,23.4927,19.7862,10.7414,2.3487,8.4586,6.5104
2008,23.8514,20.7029,10.6133,2.3593,8.4265,7.1915
2009,21.6237,21.1395,11.3401,2.5083,8.3552,7.6249
2010,22.0382,21.8058,11.6102,2.7048,8.4344,8.3138
2011,22.2214,23.4057,11.9962,2.8901,8.2687,9.2995
2012,20.6769,24.6101,13.8371,3.1621,8.0618,8.886
2013,20.0013,24.8591,15.8624,3.4514,8.2444,9.4179
2014,20.2857,26.7181,18.6018,4.0051,8.3376,9.7665
2015,17.9461,28.0669,19.6959,4.476,8.3369,9.7288
2016,14.6671,27.576,18.5117,4.6648,8.4268,10.4229
2017,15.6254,28.2893,19.535,4.9871,8.419,11.1959
2018,15.3634,31.6899,22.8897,5.727,8.4381,11.5084
2019,14.2681,34.8946,25.4389,6.3366,8.4624,11.637
2015,17.9461,28.0669,19.6959,4.476,8.3369,9.7288
2016,14.6671,27.576,18.5117,4.6648,8.4268,10.4229
2017,15.6254,28.2893,19.535,4.9871,8.419,11.1959
2018,15.3634,31.6899,22.8897,5.727,8.4381,11.5084
2019,14.2681,34.8946,25.4389,6.3366,8.4624,11.637