Temperature - (Celsius), Year, Statistics, Country, ISO3
25.6309,1991, Jan Average, Brazil, BRA
25.9331,1991, Feb Average, Brazil, BRA
25.6195,1991, Mar Average, Brazil, BRA
25.3122,1991, Apr Average, Brazil, BRA
24.6685,1991, May Average, Brazil, BRA
23.9559,1991, Jun Average, Brazil, BRA
23.2381,1991, Jul Average, Brazil, BRA
23.9559,1991, Aug Average, Brazil, BRA
25.2297,1991, Sep Average, Brazil, BRA
25.5777,1991, Oct Average, Brazil, BRA
25.9442,1991, Nov Average, Brazil, BRA
26.0139,1991, Dec Average, Brazil, BRA
25.7539,1992, Jan Average, Brazil, BRA
25.6635,1992, Feb Average, Brazil, BRA
25.5218,1992, Mar Average, Brazil, BRA
25.2168,1992, Apr Average, Brazil, BRA
25.0763,1992, May Average, Brazil, BRA
24.3627,1992, Jun Average, Brazil, BRA
22.7497,1992, Jul Average, Brazil, BRA
23.9357,1992, Aug Average, Brazil, BRA
24.4702,1992, Sep Average, Brazil, BRA
25.6455,1992, Oct Average, Brazil, BRA
25.3548,1992, Nov Average, Brazil, BRA
25.3782,1992, Dec Average, Brazil, BRA
25.7122,1993, Jan Average, Brazil, BRA
25.3757,1993, Feb Average, Brazil, BRA
25.6605,1993, Mar Average, Brazil, BRA
25.5324,1993, Apr Average, Brazil, BRA
24.4301,1993, May Average, Brazil, BRA
23.6868,1993, Jun Average, Brazil, BRA
23.3538,1993, Jul Average, Brazil, BRA
24.0561,1993, Aug Average, Brazil, BRA
25.0921,1993, Sep Average, Brazil, BRA
26.0299,1993, Oct Average, Brazil, BRA
25.9032,1993, Nov Average, Brazil, BRA
25.7751,1993, Dec Average, Brazil, BRA
25.5768,1994, Jan Average, Brazil, BRA
25.7538,1994, Feb Average, Brazil, BRA
25.4201,1994, Mar Average, Brazil, BRA
25.2587,1994, Apr Average, Brazil, BRA
24.9608,1994, May Average, Brazil, BRA
23.6368,1994, Jun Average, Brazil, BRA
23.2637,1994, Jul Average, Brazil, BRA
24.2578,1994, Aug Average, Brazil, BRA
25.4814,1994, Sep Average, Brazil, BRA
26.1762,1994, Oct Average, Brazil, BRA
25.8972,1994, Nov Average, Brazil, BRA
25.9369,1994, Dec Average, Brazil, BRA
26.165,1995, Jan Average, Brazil, BRA
25.9884,1995, Feb Average, Brazil, BRA
25.9259,1995, Mar Average, Brazil, BRA
25.1272,1995, Apr Average, Brazil, BRA
24.2585,1995, May Average, Brazil, BRA
23.8711,1995, Jun Average, Brazil, BRA
24.2735,1995, Jul Average, Brazil, BRA
25.0193,1995, Aug Average, Brazil, BRA
25.7562,1995, Sep Average, Brazil, BRA
26.1276,1995, Oct Average, Brazil, BRA
25.9217,1995, Nov Average, Brazil, BRA
25.8998,1995, Dec Average, Brazil, BRA
25.9877,1996, Jan Average, Brazil, BRA
26.1255,1996, Feb Average, Brazil, BRA
25.5699,1996, Mar Average, Brazil, BRA
25.2402,1996, Apr Average, Brazil, BRA
24.479,1996, May Average, Brazil, BRA
22.9811,1996, Jun Average, Brazil, BRA
23.4364,1996, Jul Average, Brazil, BRA
24.6444,1996, Aug Average, Brazil, BRA
25.0308,1996, Sep Average, Brazil, BRA
25.9201,1996, Oct Average, Brazil, BRA
25.6649,1996, Nov Average, Brazil, BRA
26.2589,1996, Dec Average, Brazil, BRA
25.6118,1997, Jan Average, Brazil, BRA
25.8601,1997, Feb Average, Brazil, BRA
25.2519,1997, Mar Average, Brazil, BRA
25.1507,1997, Apr Average, Brazil, BRA
24.3424,1997, May Average, Brazil, BRA
23.7496,1997, Jun Average, Brazil, BRA
24.2523,1997, Jul Average, Brazil, BRA
24.6856,1997, Aug Average, Brazil, BRA
25.8613,1997, Sep Average, Brazil, BRA
26.8906,1997, Oct Average, Brazil, BRA
26.7417,1997, Nov Average, Brazil, BRA
26.465,1997, Dec Average, Brazil, BRA
26.7041,1998, Jan Average, Brazil, BRA
26.8333,1998, Feb Average, Brazil, BRA
26.357,1998, Mar Average, Brazil, BRA
26.3255,1998, Apr Average, Brazil, BRA
24.8441,1998, May Average, Brazil, BRA
23.9281,1998, Jun Average, Brazil, BRA
24.5773,1998, Jul Average, Brazil, BRA
25.4446,1998, Aug Average, Brazil, BRA
25.7331,1998, Sep Average, Brazil, BRA
26.4043,1998, Oct Average, Brazil, BRA
26.031,1998, Nov Average, Brazil, BRA
26.1804,1998, Dec Average, Brazil, BRA
26.0825,1999, Jan Average, Brazil, BRA
26.0898,1999, Feb Average, Brazil, BRA
25.9152,1999, Mar Average, Brazil, BRA
25.1308,1999, Apr Average, Brazil, BRA
24.0045,1999, May Average, Brazil, BRA
23.7472,1999, Jun Average, Brazil, BRA
23.801,1999, Jul Average, Brazil, BRA
24.3559,1999, Aug Average, Brazil, BRA
25.7298,1999, Sep Average, Brazil, BRA
25.9712,1999, Oct Average, Brazil, BRA
25.8139,1999, Nov Average, Brazil, BRA
26.0335,1999, Dec Average, Brazil, BRA
25.8922,2000, Jan Average, Brazil, BRA
25.7304,2000, Feb Average, Brazil, BRA
25.5237,2000, Mar Average, Brazil, BRA
25.298,2000, Apr Average, Brazil, BRA
24.6587,2000, May Average, Brazil, BRA
24.0279,2000, Jun Average, Brazil, BRA
22.8954,2000, Jul Average, Brazil, BRA
24.8073,2000, Aug Average, Brazil, BRA
25.1792,2000, Sep Average, Brazil, BRA
26.5293,2000, Oct Average, Brazil, BRA
25.8763,2000, Nov Average, Brazil, BRA
25.8833,2000, Dec Average, Brazil, BRA
25.889,2001, Jan Average, Brazil, BRA
26.1098,2001, Feb Average, Brazil, BRA
25.9956,2001, Mar Average, Brazil, BRA
25.844,2001, Apr Average, Brazil, BRA
24.7001,2001, May Average, Brazil, BRA
23.2559,2001, Jun Average, Brazil, BRA
24.2577,2001, Jul Average, Brazil, BRA
25.1645,2001, Aug Average, Brazil, BRA
25.7005,2001, Sep Average, Brazil, BRA
26.2674,2001, Oct Average, Brazil, BRA
26.3615,2001, Nov Average, Brazil, BRA
26.071,2001, Dec Average, Brazil, BRA
26.0038,2002, Jan Average, Brazil, BRA
26.0543,2002, Feb Average, Brazil, BRA
26.3506,2002, Mar Average, Brazil, BRA
26.0302,2002, Apr Average, Brazil, BRA
25.2653,2002, May Average, Brazil, BRA
24.0697,2002, Jun Average, Brazil, BRA
24.3129,2002, Jul Average, Brazil, BRA
25.3006,2002, Aug Average, Brazil, BRA
25.5974,2002, Sep Average, Brazil, BRA
27.0233,2002, Oct Average, Brazil, BRA
26.4626,2002, Nov Average, Brazil, BRA
26.3774,2002, Dec Average, Brazil, BRA
26.4503,2003, Jan Average, Brazil, BRA
26.4307,2003, Feb Average, Brazil, BRA
26.0488,2003, Mar Average, Brazil, BRA
25.7608,2003, Apr Average, Brazil, BRA
24.7559,2003, May Average, Brazil, BRA
24.7049,2003, Jun Average, Brazil, BRA
23.938,2003, Jul Average, Brazil, BRA
24.1622,2003, Aug Average, Brazil, BRA
25.5287,2003, Sep Average, Brazil, BRA
26.2649,2003, Oct Average, Brazil, BRA
26.2403,2003, Nov Average, Brazil, BRA
26.5705,2003, Dec Average, Brazil, BRA
26.1996,2004, Jan Average, Brazil, BRA
25.7999,2004, Feb Average, Brazil, BRA
26.001,2004, Mar Average, Brazil, BRA
26.0832,2004, Apr Average, Brazil, BRA
24.3298,2004, May Average, Brazil, BRA
23.9999,2004, Jun Average, Brazil, BRA
23.6311,2004, Jul Average, Brazil, BRA
24.6258,2004, Aug Average, Brazil, BRA
25.8999,2004, Sep Average, Brazil, BRA
26.496,2004, Oct Average, Brazil, BRA
26.4233,2004, Nov Average, Brazil, BRA
26.2918,2004, Dec Average, Brazil, BRA
26.6529,2005, Jan Average, Brazil, BRA
26.5285,2005, Feb Average, Brazil, BRA
26.2976,2005, Mar Average, Brazil, BRA
26.0263,2005, Apr Average, Brazil, BRA
25.168,2005, May Average, Brazil, BRA
24.5774,2005, Jun Average, Brazil, BRA
23.872,2005, Jul Average, Brazil, BRA
25.3791,2005, Aug Average, Brazil, BRA
25.3699,2005, Sep Average, Brazil, BRA
26.818,2005, Oct Average, Brazil, BRA
26.64,2005, Nov Average, Brazil, BRA
25.9184,2005, Dec Average, Brazil, BRA
26.592,2006, Jan Average, Brazil, BRA
26.284,2006, Feb Average, Brazil, BRA
26.1389,2006, Mar Average, Brazil, BRA
25.4638,2006, Apr Average, Brazil, BRA
24.1172,2006, May Average, Brazil, BRA
23.9029,2006, Jun Average, Brazil, BRA
24.3948,2006, Jul Average, Brazil, BRA
25.1154,2006, Aug Average, Brazil, BRA
25.6463,2006, Sep Average, Brazil, BRA
26.5309,2006, Oct Average, Brazil, BRA
26.0784,2006, Nov Average, Brazil, BRA
26.4705,2006, Dec Average, Brazil, BRA
26.5299,2007, Jan Average, Brazil, BRA
26.2615,2007, Feb Average, Brazil, BRA
26.2567,2007, Mar Average, Brazil, BRA
25.9564,2007, Apr Average, Brazil, BRA
24.5048,2007, May Average, Brazil, BRA
24.3439,2007, Jun Average, Brazil, BRA
23.8918,2007, Jul Average, Brazil, BRA
24.3937,2007, Aug Average, Brazil, BRA
26.3635,2007, Sep Average, Brazil, BRA
26.7388,2007, Oct Average, Brazil, BRA
26.3731,2007, Nov Average, Brazil, BRA
26.154,2007, Dec Average, Brazil, BRA
25.6394,2008, Jan Average, Brazil, BRA
25.7319,2008, Feb Average, Brazil, BRA
25.6503,2008, Mar Average, Brazil, BRA
25.3256,2008, Apr Average, Brazil, BRA
24.1105,2008, May Average, Brazil, BRA
23.3868,2008, Jun Average, Brazil, BRA
24.2839,2008, Jul Average, Brazil, BRA
25.3217,2008, Aug Average, Brazil, BRA
25.6099,2008, Sep Average, Brazil, BRA
26.9318,2008, Oct Average, Brazil, BRA
26.418,2008, Nov Average, Brazil, BRA
26.0776,2008, Dec Average, Brazil, BRA
25.8964,2009, Jan Average, Brazil, BRA
25.8547,2009, Feb Average, Brazil, BRA
26.1097,2009, Mar Average, Brazil, BRA
25.5711,2009, Apr Average, Brazil, BRA
24.7066,2009, May Average, Brazil, BRA
23.4252,2009, Jun Average, Brazil, BRA
24.0877,2009, Jul Average, Brazil, BRA
25.0589,2009, Aug Average, Brazil, BRA
26.1593,2009, Sep Average, Brazil, BRA
26.4735,2009, Oct Average, Brazil, BRA
27.1158,2009, Nov Average, Brazil, BRA
26.1505,2009, Dec Average, Brazil, BRA
26.5481,2010, Jan Average, Brazil, BRA
27.0655,2010, Feb Average, Brazil, BRA
26.8228,2010, Mar Average, Brazil, BRA
25.8801,2010, Apr Average, Brazil, BRA
24.9453,2010, May Average, Brazil, BRA
24.0319,2010, Jun Average, Brazil, BRA
24.2075,2010, Jul Average, Brazil, BRA
24.7496,2010, Aug Average, Brazil, BRA
26.498,2010, Sep Average, Brazil, BRA
26.583,2010, Oct Average, Brazil, BRA
26.1724,2010, Nov Average, Brazil, BRA
26.3027,2010, Dec Average, Brazil, BRA
26.0039,2011, Jan Average, Brazil, BRA
25.9424,2011, Feb Average, Brazil, BRA
25.6809,2011, Mar Average, Brazil, BRA
25.6713,2011, Apr Average, Brazil, BRA
24.7252,2011, May Average, Brazil, BRA
24.1491,2011, Jun Average, Brazil, BRA
24.2797,2011, Jul Average, Brazil, BRA
25.1329,2011, Aug Average, Brazil, BRA
26.1025,2011, Sep Average, Brazil, BRA
26.1899,2011, Oct Average, Brazil, BRA
25.975,2011, Nov Average, Brazil, BRA
26.1336,2011, Dec Average, Brazil, BRA
25.7407,2012, Jan Average, Brazil, BRA
25.8938,2012, Feb Average, Brazil, BRA
25.831,2012, Mar Average, Brazil, BRA
25.8573,2012, Apr Average, Brazil, BRA
24.8098,2012, May Average, Brazil, BRA
24.2814,2012, Jun Average, Brazil, BRA
24.0859,2012, Jul Average, Brazil, BRA
25.1256,2012, Aug Average, Brazil, BRA
26.4915,2012, Sep Average, Brazil, BRA
27.209,2012, Oct Average, Brazil, BRA
26.6183,2012, Nov Average, Brazil, BRA
26.5734,2012, Dec Average, Brazil, BRA
26.3435,2013, Jan Average, Brazil, BRA
26.3703,2013, Feb Average, Brazil, BRA
26.327,2013, Mar Average, Brazil, BRA
25.6717,2013, Apr Average, Brazil, BRA
24.9765,2013, May Average, Brazil, BRA
24.6711,2013, Jun Average, Brazil, BRA
24.1988,2013, Jul Average, Brazil, BRA
24.4792,2013, Aug Average, Brazil, BRA
26.0349,2013, Sep Average, Brazil, BRA
26.4174,2013, Oct Average, Brazil, BRA
26.1291,2013, Nov Average, Brazil, BRA
26.3653,2013, Dec Average, Brazil, BRA
26.3036,2014, Jan Average, Brazil, BRA
26.1074,2014, Feb Average, Brazil, BRA
25.8583,2014, Mar Average, Brazil, BRA
25.8516,2014, Apr Average, Brazil, BRA
24.9854,2014, May Average, Brazil, BRA
24.5019,2014, Jun Average, Brazil, BRA
24.0488,2014, Jul Average, Brazil, BRA
25.2642,2014, Aug Average, Brazil, BRA
26.7976,2014, Sep Average, Brazil, BRA
26.9956,2014, Oct Average, Brazil, BRA
26.6407,2014, Nov Average, Brazil, BRA
26.4223,2014, Dec Average, Brazil, BRA
26.6419,2015, Jan Average, Brazil, BRA
26.3285,2015, Feb Average, Brazil, BRA
26.0379,2015, Mar Average, Brazil, BRA
26.0064,2015, Apr Average, Brazil, BRA
25.1254,2015, May Average, Brazil, BRA
24.653,2015, Jun Average, Brazil, BRA
24.6845,2015, Jul Average, Brazil, BRA
25.7821,2015, Aug Average, Brazil, BRA
27.3481,2015, Sep Average, Brazil, BRA
27.1013,2015, Oct Average, Brazil, BRA
27.2134,2015, Nov Average, Brazil, BRA
27.0235,2015, Dec Average, Brazil, BRA
26.6768,2016, Jan Average, Brazil, BRA
26.5488,2016, Feb Average, Brazil, BRA
26.605,2016, Mar Average, Brazil, BRA
26.7497,2016, Apr Average, Brazil, BRA
25.1179,2016, May Average, Brazil, BRA
23.9542,2016, Jun Average, Brazil, BRA
24.7449,2016, Jul Average, Brazil, BRA
25.5629,2016, Aug Average, Brazil, BRA
25.9775,2016, Sep Average, Brazil, BRA
27.0781,2016, Oct Average, Brazil, BRA
26.7037,2016, Nov Average, Brazil, BRA
26.5119,2016, Dec Average, Brazil, BRA
-8.0581,1991, Jan Average, China, CHN
-4.6373,1991, Feb Average, China, CHN
0.59422,1991, Mar Average, China, CHN
7.42692,1991, Apr Average, China, CHN
13.0076,1991, May Average, China, CHN
17.514,1991, Jun Average, China, CHN
19.7388,1991, Jul Average, China, CHN
18.7234,1991, Aug Average, China, CHN
14.1251,1991, Sep Average, China, CHN
7.38535,1991, Oct Average, China, CHN
-0.5524,1991, Nov Average, China, CHN
-6.3472,1991, Dec Average, China, CHN
-7.6555,1992, Jan Average, China, CHN
-5.3504,1992, Feb Average, China, CHN
0.54785,1992, Mar Average, China, CHN
8.60898,1992, Apr Average, China, CHN
12.9692,1992, May Average, China, CHN
16.6247,1992, Jun Average, China, CHN
18.9943,1992, Jul Average, China, CHN
18.1277,1992, Aug Average, China, CHN
13.5281,1992, Sep Average, China, CHN
6.54995,1992, Oct Average, China, CHN
-1.0369,1992, Nov Average, China, CHN
-5.7223,1992, Dec Average, China, CHN
-8.9905,1993, Jan Average, China, CHN
-3.2174,1993, Feb Average, China, CHN
1.52899,1993, Mar Average, China, CHN
7.67395,1993, Apr Average, China, CHN
12.4336,1993, May Average, China, CHN
16.9024,1993, Jun Average, China, CHN
18.8677,1993, Jul Average, China, CHN
17.6205,1993, Aug Average, China, CHN
13.9852,1993, Sep Average, China, CHN
7.01529,1993, Oct Average, China, CHN
-0.7692,1993, Nov Average, China, CHN
-6.3074,1993, Dec Average, China, CHN
-7.514,1994, Jan Average, China, CHN
-4.9267,1994, Feb Average, China, CHN
-0.0967,1994, Mar Average, China, CHN
8.5582,1994, Apr Average, China, CHN
13.8932,1994, May Average, China, CHN
17.766,1994, Jun Average, China, CHN
20.1248,1994, Jul Average, China, CHN
19.1956,1994, Aug Average, China, CHN
14.0158,1994, Sep Average, China, CHN
6.84287,1994, Oct Average, China, CHN
1.55286,1994, Nov Average, China, CHN
-5.6157,1994, Dec Average, China, CHN
-8.3181,1995, Jan Average, China, CHN
-4.6311,1995, Feb Average, China, CHN
0.93272,1995, Mar Average, China, CHN
7.12218,1995, Apr Average, China, CHN
13.4293,1995, May Average, China, CHN
17.8855,1995, Jun Average, China, CHN
19.4021,1995, Jul Average, China, CHN
18.4567,1995, Aug Average, China, CHN
14.367,1995, Sep Average, China, CHN
8.04587,1995, Oct Average, China, CHN
0.44264,1995, Nov Average, China, CHN
-6.1018,1995, Dec Average, China, CHN
-8.4839,1996, Jan Average, China, CHN
-5.4024,1996, Feb Average, China, CHN
0.54586,1996, Mar Average, China, CHN
7.05528,1996, Apr Average, China, CHN
13.38,1996, May Average, China, CHN
17.0785,1996, Jun Average, China, CHN
19.3646,1996, Jul Average, China, CHN
18.4174,1996, Aug Average, China, CHN
14.1137,1996, Sep Average, China, CHN
7.39495,1996, Oct Average, China, CHN
-0.7368,1996, Nov Average, China, CHN
-5.7133,1996, Dec Average, China, CHN
-7.7041,1997, Jan Average, China, CHN
-5.1026,1997, Feb Average, China, CHN
2.37114,1997, Mar Average, China, CHN
8.38909,1997, Apr Average, China, CHN
13.8641,1997, May Average, China, CHN
17.4897,1997, Jun Average, China, CHN
19.9324,1997, Jul Average, China, CHN
19.0818,1997, Aug Average, China, CHN
13.2634,1997, Sep Average, China, CHN
7.17267,1997, Oct Average, China, CHN
-0.4704,1997, Nov Average, China, CHN
-6.1681,1997, Dec Average, China, CHN
-8.7417,1998, Jan Average, China, CHN
-2.8155,1998, Feb Average, China, CHN
1.281,1998, Mar Average, China, CHN
9.98657,1998, Apr Average, China, CHN
13.7371,1998, May Average, China, CHN
17.7828,1998, Jun Average, China, CHN
19.8913,1998, Jul Average, China, CHN
18.8004,1998, Aug Average, China, CHN
15.2702,1998, Sep Average, China, CHN
8.86628,1998, Oct Average, China, CHN
0.73455,1998, Nov Average, China, CHN
-4.7471,1998, Dec Average, China, CHN
-6.791,1999, Jan Average, China, CHN
-2.5043,1999, Feb Average, China, CHN
0.53794,1999, Mar Average, China, CHN
8.9281,1999, Apr Average, China, CHN
13.5003,1999, May Average, China, CHN
17.759,1999, Jun Average, China, CHN
20.0303,1999, Jul Average, China, CHN
18.6902,1999, Aug Average, China, CHN
14.958,1999, Sep Average, China, CHN
7.75483,1999, Oct Average, China, CHN
0.37074,1999, Nov Average, China, CHN
-5.6398,1999, Dec Average, China, CHN
-8.7503,2000, Jan Average, China, CHN
-6.2147,2000, Feb Average, China, CHN
1.25517,2000, Mar Average, China, CHN
8.2631,2000, Apr Average, China, CHN
14.4907,2000, May Average, China, CHN
18.0989,2000, Jun Average, China, CHN
20.656,2000, Jul Average, China, CHN
18.7555,2000, Aug Average, China, CHN
14.5321,2000, Sep Average, China, CHN
7.03814,2000, Oct Average, China, CHN
-1.4341,2000, Nov Average, China, CHN
-5.8403,2000, Dec Average, China, CHN
-8.1776,2001, Jan Average, China, CHN
-4.5979,2001, Feb Average, China, CHN
1.5345,2001, Mar Average, China, CHN
7.97958,2001, Apr Average, China, CHN
13.9345,2001, May Average, China, CHN
18.0685,2001, Jun Average, China, CHN
20.4976,2001, Jul Average, China, CHN
18.8011,2001, Aug Average, China, CHN
14.6146,2001, Sep Average, China, CHN
8.45435,2001, Oct Average, China, CHN
1.00757,2001, Nov Average, China, CHN
-6.9559,2001, Dec Average, China, CHN
-6.216,2002, Jan Average, China, CHN
-2.3299,2002, Feb Average, China, CHN
3.0384,2002, Mar Average, China, CHN
8.58449,2002, Apr Average, China, CHN
13.3862,2002, May Average, China, CHN
18.0994,2002, Jun Average, China, CHN
20.1288,2002, Jul Average, China, CHN
18.9574,2002, Aug Average, China, CHN
14.1613,2002, Sep Average, China, CHN
7.1211,2002, Oct Average, China, CHN
-0.3779,2002, Nov Average, China, CHN
-6.6509,2002, Dec Average, China, CHN
-7.4885,2003, Jan Average, China, CHN
-3.6437,2003, Feb Average, China, CHN
1.35367,2003, Mar Average, China, CHN
8.40382,2003, Apr Average, China, CHN
13.1803,2003, May Average, China, CHN
17.5575,2003, Jun Average, China, CHN
19.3749,2003, Jul Average, China, CHN
18.6653,2003, Aug Average, China, CHN
14.7691,2003, Sep Average, China, CHN
7.85971,2003, Oct Average, China, CHN
-0.0381,2003, Nov Average, China, CHN
-5.7355,2003, Dec Average, China, CHN
-7.4353,2004, Jan Average, China, CHN
-3.2974,2004, Feb Average, China, CHN
2.20087,2004, Mar Average, China, CHN
9.53241,2004, Apr Average, China, CHN
13.5192,2004, May Average, China, CHN
17.7735,2004, Jun Average, China, CHN
19.7347,2004, Jul Average, China, CHN
18.5554,2004, Aug Average, China, CHN
14.5654,2004, Sep Average, China, CHN
7.51077,2004, Oct Average, China, CHN
0.6377,2004, Nov Average, China, CHN
-5.4038,2004, Dec Average, China, CHN
-7.9494,2005, Jan Average, China, CHN
-6.6954,2005, Feb Average, China, CHN
1.31173,2005, Mar Average, China, CHN
8.88005,2005, Apr Average, China, CHN
13.3559,2005, May Average, China, CHN
18.4624,2005, Jun Average, China, CHN
20.2823,2005, Jul Average, China, CHN
18.7126,2005, Aug Average, China, CHN
15.3844,2005, Sep Average, China, CHN
8.03895,2005, Oct Average, China, CHN
1.01174,2005, Nov Average, China, CHN
-7.2724,2005, Dec Average, China, CHN
-7.3738,2006, Jan Average, China, CHN
-3.791,2006, Feb Average, China, CHN
1.69025,2006, Mar Average, China, CHN
8.12463,2006, Apr Average, China, CHN
13.8068,2006, May Average, China, CHN
17.8384,2006, Jun Average, China, CHN
20.3471,2006, Jul Average, China, CHN
19.7989,2006, Aug Average, China, CHN
14.6008,2006, Sep Average, China, CHN
9.16873,2006, Oct Average, China, CHN
1.24579,2006, Nov Average, China, CHN
-5.5593,2006, Dec Average, China, CHN
-6.8378,2007, Jan Average, China, CHN
-1.8252,2007, Feb Average, China, CHN
1.86051,2007, Mar Average, China, CHN
8.73998,2007, Apr Average, China, CHN
14.7043,2007, May Average, China, CHN
18.1904,2007, Jun Average, China, CHN
19.9293,2007, Jul Average, China, CHN
19.5469,2007, Aug Average, China, CHN
14.7698,2007, Sep Average, China, CHN
7.84927,2007, Oct Average, China, CHN
0.58045,2007, Nov Average, China, CHN
-4.8138,2007, Dec Average, China, CHN
-9.1991,2008, Jan Average, China, CHN
-6.7781,2008, Feb Average, China, CHN
3.58363,2008, Mar Average, China, CHN
9.0772,2008, Apr Average, China, CHN
14.1644,2008, May Average, China, CHN
17.9206,2008, Jun Average, China, CHN
20.0834,2008, Jul Average, China, CHN
18.6798,2008, Aug Average, China, CHN
14.7518,2008, Sep Average, China, CHN
8.42804,2008, Oct Average, China, CHN
0.5262,2008, Nov Average, China, CHN
-5.0804,2008, Dec Average, China, CHN
-7.2755,2009, Jan Average, China, CHN
-2.7333,2009, Feb Average, China, CHN
1.83103,2009, Mar Average, China, CHN
9.62283,2009, Apr Average, China, CHN
13.915,2009, May Average, China, CHN
17.8393,2009, Jun Average, China, CHN
19.9348,2009, Jul Average, China, CHN
18.8167,2009, Aug Average, China, CHN
14.8591,2009, Sep Average, China, CHN
8.68741,2009, Oct Average, China, CHN
-1.5113,2009, Nov Average, China, CHN
-6.4,2009, Dec Average, China, CHN
-7.157,2010, Jan Average, China, CHN
-4.8447,2010, Feb Average, China, CHN
0.73827,2010, Mar Average, China, CHN
6.68239,2010, Apr Average, China, CHN
13.6894,2010, May Average, China, CHN
18.0626,2010, Jun Average, China, CHN
20.6833,2010, Jul Average, China, CHN
19.3831,2010, Aug Average, China, CHN
14.9127,2010, Sep Average, China, CHN
7.79118,2010, Oct Average, China, CHN
1.00899,2010, Nov Average, China, CHN
-6.217,2010, Dec Average, China, CHN
-10.551,2011, Jan Average, China, CHN
-3.8005,2011, Feb Average, China, CHN
0.01453,2011, Mar Average, China, CHN
8.92692,2011, Apr Average, China, CHN
13.5399,2011, May Average, China, CHN
18.1648,2011, Jun Average, China, CHN
20.0844,2011, Jul Average, China, CHN
19.3468,2011, Aug Average, China, CHN
14.127,2011, Sep Average, China, CHN
8.30048,2011, Oct Average, China, CHN
1.23658,2011, Nov Average, China, CHN
-6.58,2011, Dec Average, China, CHN
-9.7547,2012, Jan Average, China, CHN
-6.0407,2012, Feb Average, China, CHN
0.62189,2012, Mar Average, China, CHN
9.07236,2012, Apr Average, China, CHN
14.4223,2012, May Average, China, CHN
18.0017,2012, Jun Average, China, CHN
20.1618,2012, Jul Average, China, CHN
19.0979,2012, Aug Average, China, CHN
14.2195,2012, Sep Average, China, CHN
7.45624,2012, Oct Average, China, CHN
-0.7829,2012, Nov Average, China, CHN
-7.4122,2012, Dec Average, China, CHN
-8.471,2013, Jan Average, China, CHN
-4.6516,2013, Feb Average, China, CHN
2.61252,2013, Mar Average, China, CHN
7.89722,2013, Apr Average, China, CHN
14.1109,2013, May Average, China, CHN
18.0953,2013, Jun Average, China, CHN
20.1319,2013, Jul Average, China, CHN
19.6785,2013, Aug Average, China, CHN
14.3211,2013, Sep Average, China, CHN
8.30514,2013, Oct Average, China, CHN
0.48485,2013, Nov Average, China, CHN
-5.8042,2013, Dec Average, China, CHN
-6.5408,2014, Jan Average, China, CHN
-5.6595,2014, Feb Average, China, CHN
2.41522,2014, Mar Average, China, CHN
9.31766,2014, Apr Average, China, CHN
11.5602,2014, May Average, China, CHN
17.7751,2014, Jun Average, China, CHN
19.8805,2014, Jul Average, China, CHN
18.4652,2014, Aug Average, China, CHN
14.591,2014, Sep Average, China, CHN
8.45792,2014, Oct Average, China, CHN
0.86643,2014, Nov Average, China, CHN
-6.6938,2014, Dec Average, China, CHN
-6.2776,2015, Jan Average, China, CHN
-3.2502,2015, Feb Average, China, CHN
2.53774,2015, Mar Average, China, CHN
8.69199,2015, Apr Average, China, CHN
13.893,2015, May Average, China, CHN
17.499,2015, Jun Average, China, CHN
19.8881,2015, Jul Average, China, CHN
18.8818,2015, Aug Average, China, CHN
14.3026,2015, Sep Average, China, CHN
8.34222,2015, Oct Average, China, CHN
0.53573,2015, Nov Average, China, CHN
-5.2437,2015, Dec Average, China, CHN
-8.4061,2016, Jan Average, China, CHN
-4.7359,2016, Feb Average, China, CHN
2.7982,2016, Mar Average, China, CHN
9.53561,2016, Apr Average, China, CHN
13.3823,2016, May Average, China, CHN
17.9646,2016, Jun Average, China, CHN
20.5391,2016, Jul Average, China, CHN
19.7398,2016, Aug Average, China, CHN
15.208,2016, Sep Average, China, CHN
7.60166,2016, Oct Average, China, CHN
-0.3605,2016, Nov Average, China, CHN
